OBJECTID,F15Regions,DName2016,DNama2017,dc2017,DName2018,dc2018,DName2019,Ref_host,Shape_Leng,Shape_Area
112,ACHOLI,NWOYA,NWOYA,328,NWOYA,328,NWOYA,no,426860.46479600000,4735053024.29000000000
113,TORO,BUNDIBUGYO,BUNDIBUGYO,401,BUNDIBUGYO,401,BUNDIBUGYO,no,183549.94728400000,852935168.89600000000
114,BUNYORO,KIRYANDONGO,KIRYANDONGO,421,KIRYANDONGO,421,KIRYANDONGO,yes,293556.73117300000,3632114998.09000000000
115,ELGON,MANAFWA,NAMISINDWA,234,NAMISINDWA,234,NAMISINDWA,no,97918.82775910000,299603750.25000000000
116,LANGO,OYAM,OYAM,321,OYAM,321,OYAM,no,247665.51079600000,2251065671.86000000000
117,WEST NILE,KOBOKO,KOBOKO,319,KOBOKO,319,KOBOKO,yes,158300.64055400000,763532964.25600000000
118,ELGON,BULAMBULI,BULAMBULI,225,BULAMBULI,225,BULAMBULI,no,219500.03956900000,693609857.88100000000
119,SOUTH BUGANDA,GOMBA,GOMBA,121,GOMBA,121,GOMBA,no,257078.98436500000,1670114106.25000000000
120,SOUTH BUGANDA,RAKAI,RAKAI,110,RAKAI,110,RAKAI,no,188092.47012400000,1591879735.06000000000
121,WEST NILE,MOYO,MOYO,309,MOYO,309,MOYO,yes,169120.90300000000,1040709336.14000000000
122,BUKEDI,KIBUKU,KIBUKU,227,KIBUKU,227,KIBUKU,no,113868.53942100000,488825269.56300000000
123,NORTH BUGANDA,MUBENDE,MUBENDE,107,KASSANDA,126,KASSANDA,no,211568.57381200000,1918039084.13000000000
124,BUNYORO,HOIMA,HOIMA,403,HOIMA,403,HOIMA,no,320307.27834800000,2650314024.03000000000
125,LANGO,APAC,APAC,302,KWANIA,333,KWANIA,no,212600.98793400000,1406880495.55000000000
126,TESO,AMURIA,AMURIA,216,KAPELEBYONG,236,KAPELEBYONG,no,259163.03115000000,1200846691.16000000000
127,KARAMOJA,NAKAPIRIPIRIT,NAKAPIRIPIRIT,311,NABILATUK,334,NABILATUK,no,284686.78846600000,1804460960.63000000000
128,BUSOGA,IGANGA,IGANGA,203,BUGWERI,235,BUGWERI,no,109452.22715400000,378824471.60500000000
129,NORTH BUGANDA,MUKONO,MUKONO,108,MUKONO,108,MUKONO,no,18.90022959100,0.04789841181
130,ANKOLE,MBARARA,MBARARA,410,MBARARA,410,RWAMPARA,no,126836.49790800000,575330574.83300000000
131,TORO,KAMWENGE,KAMWENGE,413,KAMWENGE,413,KITAGWENDA,no,156852.03043800000,716564422.71900000000
132,WEST NILE,ARUA,ARUA,303,ARUA,303,MADI OKOLLO,yes,264375.66720800000,2019332891.26000000000
133,KARAMOJA,KAABONG,KAABONG,318,KAABONG,318,KARENGA,no,258966.65685600000,2547662149.82000000000
134,WEST NILE,MOYO,MOYO,309,MOYO,309,OBONGI,yes,146069.65306100000,846921927.02200000000
135,TESO,KABERAMAIDO,KABERAMAIDO,213,KABERAMAIDO,213,KALAKI,no,142883.76547300000,736551396.82500000000
136,ANKOLE,KIRUHURA,KIRUHURA,419,KIRUHURA,419,KAZO,no,217392.29637500000,1557341351.97000000000
